,active_from,active_to,birth_year,birth_date,Height_in_feet,college,height,player_name,position,weight,NBA__3ptapg,NBA__3ptpct,NBA__3ptpg,NBA_efgpct,NBA_fg%,NBA_fg_per_game,NBA_fga_per_game,NBA_ft%,NBA_ft_per_g,NBA_fta_p_g,NBA_g_played,NBA_ppg,NCAA__3ptapg,NCAA__3ptpct,NCAA__3ptpg,NCAA_fgapg,NCAA_fgpct,NCAA_fgpg,NCAA_ft,NCAA_ftapg,NCAA_ftpg,NCAA_games,NCAA_ppg,Years_played,Draft_age,WinShare/48,WingSpan,Standing_vert,Max_vertical,Agility,Sprint,Draft_Pick
1454,2015,2018,1995,9/16/1995,6.9,University of Arizona,6.9.2020,Aaron Gordon,F,220,3,0.308,0.9,0.5,0.451,4.3,9.6,0.699,1.9,2.7,261,11.4,1.2,0.356,0.4,10.1,0.495,5,0.422,4.7,2,38,12.4,3,20,0.06,83.75,105,144,10.81,3.27,4
1670,2016,2018,1994,10/28/1994,6.6,University of Kentucky,6.6.2020,Aaron Harrison,G,210,1.4,0.217,0.3,0.324,0.257,0.6,2.2,0.6,0.4,0.7,34,1.9,4.6,0.335,1.5,9.9,0.41,4.1,0.787,3.5,2.8,79,12.4,2,22,#N/A,80.25,100.5,135,0,3.27,0
3994,2014,2014,1993,3/25/1993,6.7,"University of North Carolina, University of Memphis",6.7.2020,Adonis Thomas,F,200,0.8,0.2,0.2,0.464,0.429,1,2.3,1,0.2,0.2,6,2.3,2.3,0.325,0.7,9.5,0.426,4.1,0.745,2.5,1.9,55,10.7,0,21,-0.031,85,99,139.5,11.66,3.32,0
3159,2015,2018,1991,2/19/1991,6.1,Michigan State University,6.10.2020,Adreian Payne,F-C,237,0.6,0.254,0.1,0.423,0.406,1.6,4,0.68,0.6,0.9,107,4,1.1,0.409,0.4,6.2,0.526,3.2,0.755,2.7,2,138,8.9,3,24,-0.033,88,109,0,0,0,15
4378,2016,2018,1993,1/28/1993,6.8,"University of California, Santa Barbara",6.8.2020,Alan Williams,F-C,260,0,0,0,0.502,0.502,2.5,5,0.63,1.4,2.2,62,6.4,0,0,0,11.6,0.492,5.7,0.706,5.8,4.1,112,15.5,2,23,#N/A,85.75,106.5,135,12.07,3.5,0
556,2012,2018,1991,7/20/1991,6.6,University of Colorado,6.6.2020,Alec Burks,G,214,1.8,0.354,0.6,0.466,0.426,3.4,7.9,0.765,2.3,3.1,364,9.7,2.2,0.313,0.7,12.6,0.495,6.2,0.804,7.3,5.9,68,19,6,21,0.076,82,103.5,139.5,10.96,3.17,12
2227,2015,2015,1991,11/14/1991,7.1,University of New Mexico,7.1.2000,Alex Kirk,C,245,0,,0,0.25,0.25,0.2,0.8,1,0.4,0.4,5,0.8,1.4,0.252,0.3,7.8,0.488,3.8,0.684,2.9,2,101,10,0,24,0.061,87.5,109.5,141,11.2,3.48,0
2387,2014,2018,1993,6/16/1993,7.1,University of Maryland,7.1.2020,Alex Len,C,260,0.1,0.24,0,0.485,0.484,2.7,5.6,0.708,1.7,2.4,334,7.2,0.2,0.111,0,7,0.538,3.8,0.663,3.3,2.2,60,9.7,4,21,0.024,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3868,2016,2016,1987,8/7/1987,6.1,"University of North Carolina, University of Southern California",6.10.2020,Alex Stepheson,F,270,0,,0,0.333,0.333,1.1,3.4,0.333,0.5,1.5,8,2.8,0,,0,4.7,0.52,2.4,0.497,2.1,1,137,5.9,0,29,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3689,2013,2015,1988,12/16/1988,6.6,,6.6.2020,Alexey Shved,G,190,2.9,0.306,0.9,0.436,0.369,2.4,6.6,0.762,1.6,2.1,182,7.4,,,,,,,,,,,,2,25,0.02,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
